take_profit_pct,stop_loss_pct,take_profit_take,stop_loss_give,current,pair,direction,entry_price,take_profit,stop_loss,block_time,order_id,bidder_addr,status,leverage,margin_amount,fee,time,user_type,pnl,funding_payment,hash,ask_amount,offer_amount
13.01%,-100.00%, $ 2.439 , $ (18.740),,ORAI_USDC,SELL,4.104134,3.57,,1701280171,397,orai1mvdnt277449t26f6g38epa0ugu5wmallgdaya7,OPENING,1,18.739767,0.007498,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 0.124 , $ (1.243),,ORAI_USDC,SELL,4.044163,3.639746,,1701313793,450,orai1ax88yuwrmapcmrrfm3r7c8xugphjgpgsuptsux,OPENING,1,1.242828,0.000496,2023-12-04 18:30:53,USER,0,0,,0,0
5.39%,-100.00%, $ 29.644 , $ (549.580),,ORAI_USDC,SELL,4.133886,4.017036,,1701411890,528,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,1.908257215,549.58,0.42,2023-12-04 18:30:53,USER,0,0,,0,0
6.36%,-100.00%, $ 34.958 , $ (549.580),,ORAI_USDC,SELL,4.174882,4.035719,,1701414166,532,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,1.908257215,549.58,0.42,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 39.952 , $ (399.520),,ORAI_USDC,SELL,4.47672,4.327496,,1701421454,566,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,3,399.52,0.48,2023-12-04 18:30:53,USER,0,0,,0,0
26.41%,-100.00%, $ 54.656 , $ (206.924),,ORAI_USDC,SELL,4.495838,4.099999,,1701421661,568,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,3,206.924485,0.248606,2023-12-04 18:30:53,USER,0,0,,0,0
82.46%,-6.22%, $ 0.093 , $ (0.007),,ORAI_USDC,BUY,4.391199,5.6,4.3,1701424817,582,orai12zyu8w93h0q2lcnt50g3fn0w3yqnhy4fvawaqz,OPENING,2.995644157,0.112263,0.000134,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-36.21%, $ 0.200 , $ (0.723),,ORAI_USDC,SELL,4.390365,4.244019,4.756228,1701427211,588,orai1l9ach9s8gceyk8jt8k3qt0s6mthjp98kdfu9ph,OPENING,3,1.9976,0.0024,2023-12-04 18:30:53,USER,0,0,,0,0
50.00%,-90.00%, $ 38.871 , $ (69.968),,ORAI_USDC,SELL,4.871681,4.059733,5.277654,1701451341,624,orai1qejal3hd8ldg7gtp4mdeexqrztcyq4lpcsa49q,OPENING,3,77.741917,0.093402,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-36.21%, $ 0.061 , $ (0.222),,ORAI_USDC,SELL,4.87108,4.70871,5.277003,1701452418,627,orai1zpjc5aesp4p9d7k4gyt4xava2mrnna5ff8nvwp,OPENING,3,0.613571,0.000736,2023-12-04 18:30:53,USER,0,0,,0,0
27.17%,-100.00%, $ 134.321 , $ (494.440),,ORAI_USDC,SELL,4.838113,4.4,,1701454755,629,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,3,494.439859,0.59404,2023-12-04 18:30:53,USER,0,0,,0,0
20.36%,-100.00%, $ 141.698 , $ (695.946),,ORAI_USDC,SELL,4.827644,4.5,,1701455438,630,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,3,695.946435,0.836138,2023-12-04 18:30:53,USER,0,0,,0,0
100.00%,-100.00%, $ 12.131 , $ (12.131),,ORAI_USDC,BUY,4.752271,6.336361,,1701471516,645,orai1z68v9ss22eveaxqp7afsqkmwc5068rlcw986dt,OPENING,3,12.130679,0.014574,2023-12-04 18:30:53,USER,0,0,,0,0
25.27%,-100.00%, $ 37.863 , $ (149.820),,ORAI_USDC,SELL,4.913957,4.5,6,1701482690,669,orai1wev8ptzj27aueu04wgvvl4gvurax6rj56u6aza,OPENING,3,149.82,0.18,2023-12-04 18:30:53,USER,0,0,,0,0
300.00%,-100.00%, $ 27.733 , $ (9.244),,ORAI_USDC,BUY,4.945053,9.890106,,1701498798,693,orai13s6yhpd2902jrfrftznvrdnct94jdlmtu76yzp,OPENING,3,9.244224,0.011106,2023-12-04 18:30:53,USER,0,0,,0,0
5.00%,-90.00%, $ 83.654 ," $ (1,505.447)",,ORAI_USDC,BUY,5.05066,5.134855,3.535474,1701500460,701,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1672.732403,2.00969,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 99.124 ," $ (1,783.779)",,ORAI_USDC,BUY,4.980093,5.063115,3.486079,1701500717,702,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1981.995014,2.38125,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 73.263 ," $ (1,318.479)",,ORAI_USDC,BUY,4.974035,5.056951,3.481835,1701501515,704,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1464.986901,1.760096,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 78.122 ," $ (1,405.918)",,ORAI_USDC,BUY,4.985772,5.068884,3.490051,1701502112,708,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1562.142239,1.876822,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 71.845 ," $ (1,292.980)",,ORAI_USDC,BUY,5.012593,5.096151,3.508825,1701503314,709,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1436.653419,1.726054,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 132.262 ," $ (2,379.892)",,ORAI_USDC,BUY,5.049188,5.133369,3.534451,1701504172,710,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2644.358822,3.177042,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 211.345 ," $ (3,802.098)",,ORAI_USDC,BUY,5.111073,5.196303,3.577782,1701504218,711,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,4224.638253,5.075656,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 195.117 ," $ (3,510.313)",,ORAI_USDC,BUY,4.973536,5.056469,3.481503,1701522529,727,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,3900.420606,4.686128,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 86.921 ," $ (1,564.237)",,ORAI_USDC,BUY,5.027593,5.111404,3.519327,1701522913,729,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1738.054957,2.08817,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 72.116 ," $ (1,297.861)",,ORAI_USDC,BUY,5.040212,5.12423,3.528158,1701523108,731,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1442.07688,1.73257,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 125.865 ," $ (2,264.821)",,ORAI_USDC,BUY,5.061415,5.145799,3.543009,1701523802,733,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2516.498335,3.023426,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 77.521 ," $ (1,395.087)",,ORAI_USDC,BUY,5.090826,5.17569,3.56359,1701524215,735,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1550.109056,1.862364,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 82.879 ," $ (1,491.497)",,ORAI_USDC,BUY,5.054499,5.138758,3.538161,1701525322,736,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1657.232003,1.991066,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 110.098 ," $ (1,981.168)",,ORAI_USDC,BUY,5.059124,5.143467,3.541403,1701525488,737,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2201.321719,2.644758,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 70.793 ," $ (1,274.018)",,ORAI_USDC,BUY,5.091729,5.176607,3.564221,1701526542,738,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1415.585898,1.700742,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 109.023 ," $ (1,961.846)",,ORAI_USDC,BUY,5.085013,5.169787,3.559525,1701527375,739,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2179.851341,2.618964,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 140.218 ," $ (2,522.990)",,ORAI_USDC,BUY,5.049714,5.133906,3.53482,1701527432,740,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2803.359146,3.368072,2023-12-04 18:30:53,BOT,0,0,,0,0
5.01%,-90.00%, $ 521.625 ," $ (9,376.116)",,ORAI_USDC,BUY,4.943451,5.025953,3.460492,1701529255,742,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,10418.44254,12.51715,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 89.378 ," $ (1,608.408)",,ORAI_USDC,BUY,5.03688,5.120848,3.52583,1701532927,745,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1787.136467,2.14714,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 83.086 ," $ (1,495.211)",,ORAI_USDC,BUY,5.050813,5.135011,3.535581,1701533035,747,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1661.359065,1.996026,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 79.215 ," $ (1,425.572)",,ORAI_USDC,BUY,5.080031,5.164715,3.556033,1701533115,748,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1583.980476,1.90306,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 132.452 ," $ (2,383.299)",,ORAI_USDC,BUY,5.068122,5.152619,3.547705,1701534286,752,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2648.144022,3.18159,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 99.846 ," $ (1,796.759)",,ORAI_USDC,BUY,5.016281,5.099907,3.511411,1701534520,753,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1996.417974,2.398578,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 99.887 ," $ (1,797.487)",,ORAI_USDC,BUY,4.989224,5.072399,3.492471,1701536984,754,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1997.226883,2.39955,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 113.720 ," $ (2,046.311)",,ORAI_USDC,BUY,5.031035,5.114911,3.521742,1701537070,756,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,2273.705497,2.731724,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 75.409 ," $ (1,357.095)",,ORAI_USDC,BUY,5.011573,5.095115,3.508112,1701539726,761,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1507.894105,1.811646,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 75.328 ," $ (1,355.633)",,ORAI_USDC,BUY,5.038752,5.122747,3.527137,1701540411,763,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1506.269545,1.809694,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 82.455 ," $ (1,483.859)",,ORAI_USDC,BUY,5.067118,5.151588,3.546995,1701540891,764,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1648.746084,1.980872,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 87.619 ," $ (1,576.771)",,ORAI_USDC,BUY,5.090518,5.175379,3.563375,1701541782,766,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1751.981524,2.104902,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 83.819 ," $ (1,508.418)",,ORAI_USDC,BUY,5.088985,5.173819,3.562302,1701541947,767,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1676.033864,2.013656,2023-12-04 18:30:53,BOT,0,0,,0,0
5.01%,-90.00%, $ 420.087 ," $ (7,553.141)",,ORAI_USDC,BUY,5.159796,5.245885,3.61192,1701542681,769,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,8392.71986,10.083362,2023-12-04 18:30:53,BOT,0,0,,0,0
5.00%,-90.00%, $ 87.498 ," $ (1,574.601)",,ORAI_USDC,BUY,5.242393,5.329786,3.669689,1701542861,771,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1749.572664,2.102008,2023-12-04 18:30:53,BOT,0,0,,0,0
9.68%,-100.00%, $ 193.333 ," $ (1,997.600)",,ORAI_USDC,BUY,5.359623,5.532529,,1701556233,804,orai1q8w8vtu3w0zpyxywnvlmptqvnpf4z3adtxxkuu,OPENING,3,1997.6,2.4,2023-12-04 18:30:53,USER,0,0,,0,0
100.00%,-50.00%, $ 12.925 , $ (6.462),,ORAI_USDC,BUY,5.45009,7.266786,4.541741,1701591029,815,orai1eys2gy84t0g7hyrmph5w6w36n6vu3fj7jfznpc,OPENING,3,12.924587,0.015528,2023-12-04 18:30:53,USER,0,0,,0,0
39.03%,-68.18%," $ 4,682.232 "," $ (8,178.545)",,ORAI_USDC,SELL,5.412872,3.3,5.55,1701596296,816,orai1c54auea39t0tp79j3rn0xffumfmyv9wqwvyaj7,OPENING,1,11995.2,4.8,2023-12-04 18:30:53,USER,0,0,,0,0
66.88%,-100.00%, $ 349.387 , $ (522.423),,ORAI_USDC,BUY,5.225168,6.39,,1701614512,829,orai1wtzpkfhu9h4t7nde3l4wltvm7lxyp6hfp9f5vy,OPENING,3,522.423302,0.62766,2023-12-04 18:30:53,USER,0,0,,0,0
17.17%,-100.00%, $ 203.980 ," $ (1,187.890)",,ORAI_USDC,SELL,5.197498,4.9,,1701619371,831,orai18vyspza5ndpg5wss0u7mqs7g50zekjrjvc2dys,OPENING,3,1187.889778,1.42718,2023-12-04 18:30:53,USER,0,0,,0,0
9.52%,-100.00%, $ 124.661 ," $ (1,309.032)",,ORAI_USDC,BUY,5.134677,5.297671,,1701625242,835,orai13wm0jtlyzf33l4d4j2crsyashlqwcldf3fzwvx,OPENING,3,1309.032175,1.572724,2023-12-04 18:30:53,USER,0,0,,0,0
5.00%,-90.00%, $ 3.352 , $ (60.331),,ORAI_USDC,BUY,5.271649,5.35951,3.690154,1701628313,837,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,67.033903,0.080536,2023-12-04 18:30:53,BOT,0,0,,0,0
3.00%,-6.06%, $ 5.993 , $ (12.107),,ORAI_USDC,SELL,5.146414,5.094947,5.197875,1701671488,873,orai1x9dvpscythaz0mw8zj5re6f3qdpk347epc272q,OPENING,3,199.76,0.24,2023-12-04 18:30:53,USER,0,0,,0,0
20.72%,-100.00%, $ 0.021 , $ (0.100),,ORAI_USDC,BUY,5.144652,5.5,,1701674289,875,orai1ntdmh848kktumfw5tx8l2semwkxa5s7e5rs03x,OPENING,3,0.09988,0.00012,2023-12-04 18:30:53,USER,0,0,,0,0
20.70%,-100.00%, $ 0.002 , $ (0.010),,ORAI_USDC,BUY,5.144917,5.5,,1701674352,876,orai1ntdmh848kktumfw5tx8l2semwkxa5s7e5rs03x,OPENING,3,0.009988,0.000012,2023-12-04 18:30:53,USER,0,0,,0,0
50.00%,-100.00%, $ 499.400 , $ (998.800),,ORAI_USDC,BUY,5.184452,6.048527,,1701683336,885,orai1gm7ptpux85zu2e9p4vpnwchpueh4mv8qyerxtu,OPENING,3,998.8,1.2,2023-12-04 18:30:53,USER,0,0,,0,0
5.00%,-90.00%, $ 74.982 ," $ (1,349.400)",,ORAI_USDC,BUY,5.164344,5.250433,3.615052,1701684429,889,orai15vc7z4zyyam999zp6rwealm06lvuy9ykumwlpl,OPENING,3,1499.344351,1.801374,2023-12-04 18:30:53,BOT,0,0,,0,0
100.00%,-100.00%, $ 737.115 , $ (737.114),,ORAI_USDC,SELL,5.18467,3.456446,,1701687430,894,orai1uesy4qnqathqlxalakh9r5slvjlvq6appzdhjr,OPENING,3,737.1144,0.8856,2023-12-04 18:30:53,USER,0,0,,0,0
50.00%,-25.00%, $ 2.587 , $ (1.293),,ORAI_USDC,BUY,5.178009,6.041009,4.746507,1701688397,897,orai130nsjuzzcsef3cku8nyfzaqw7cy24al8dk8gg5,OPENING,3,5.173784,0.006216,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 34.512 , $ (345.117),,ORAI_USDC,SELL,5.174914,5.002416,,1701688634,902,orai1hvhkk0jrdu6dz2qwum2v2arc8rtucha79jkfdn,OPENING,3,345.116967,0.414636,2023-12-04 18:30:53,USER,0,0,,0,0
26.41%,-100.00%, $ 6.594 , $ (24.966),,INJ_USDC,SELL,16.448036,15,,1701279398,394,orai1mvdnt277449t26f6g38epa0ugu5wmallgdaya7,OPENING,3,24.966359,0.029994,2023-12-04 18:30:53,USER,0,0,,0,0
10.00%,-100.00%, $ 1.170 , $ (11.702),,INJ_USDC,BUY,17.58102,18.167054,,1701422816,574,orai1ax88yuwrmapcmrrfm3r7c8xugphjgpgsuptsux,OPENING,3,11.701546,0.014058,2023-12-04 18:30:53,USER,0,0,,0,0
6.05%,-100.00%, $ 1.631 , $ (26.968),,INJ_USDC,SELL,17.55393,17.2,,1701516339,721,orai1uhcwtfntsvk8gpwfxltesyl4e28aalmqvx7typ,OPENING,3,26.9676,0.0324,2023-12-04 18:30:53,USER,0,0,,0,0
